gender,imm,imm_gen,a1.w1,a1.w2,a1.w3,a2.w1,a2.w2,a2.w3,a3.w1,a3.w2,a3.w3,a4.w1,a4.w2,a4.w3,a5.w1,a5.w2,a5.w3,a6.w1,a6.w2,a6.w3,a7.w1,a7.w2,a7.w3,a8.w1,a8.w2,a8.w3,c1.w1,c1.w2,c1.w3,c2.w1,c2.w2,c2.w3,c3.w1,c3.w2,c3.w3,c4.w1,c4.w2,c4.w3,c5.w1,c5.w2,c5.w3,c6.w1,c6.w2,c6.w3,c7.w1,c7.w2,c7.w3,c8.w1,c8.w2,c8.w3,e1.w1,e1.w2,e1.w3,e2.w1,e2.w2,e2.w3,e3.w1,e3.w2,e3.w3,e4.w1,e4.w2,e4.w3,e5.w1,e5.w2,e5.w3,e6.w1,e6.w2,e6.w3,e7.w1,e7.w2,e7.w3,e8.w1,e8.w2,e8.w3,o1.w1,o1.w2,o1.w3,o2.w1,o2.w2,o2.w3,o3.w1,o3.w2,o3.w3,o4.w1,o4.w2,o4.w3,o5.w1,o5.w2,o5.w3,o6.w1,o6.w2,o6.w3,o7.w1,o7.w2,o7.w3,o8.w1,o8.w2,o8.w3,s1.w1,s1.w2,s1.w3,s2.w1,s2.w2,s2.w3,s3.w1,s3.w2,s3.w3,s4.w1,s4.w2,s4.w3,s5.w1,s5.w2,s5.w3,s6.w1,s6.w2,s6.w3,s7.w1,s7.w2,s7.w3,s8.w1,s8.w2,s8.w3
1,0,0,5,5,5,3,3,1,1,1,2,3,5,5,3,1,2,4,5,3,3,1,5,4,5,5,4,5,4,4,4,2,3,5,2,1,5,1,3,2,1,2,5,1,3,5,4,4,4,1,4,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,1,3,4,5,4,4,1,4,5,5,5,4,5,5,4,5,5,4,5,4,3,5,4,5,5,5,3,4,5,3,4,5,1,4,2,3,2,1,2,2,2,3,5,5,4,5,4,3,1,4
1,0,0,5,5,5,5,5,5,4,5,4,5,5,5,4,4,3,5,5,5,5,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,4,4,3,5,3,3,3,5,3,5,1,2,2,3,2,2,5,5,5,1,1,1,5,5,5,5,4,4,3,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,4,3,5,3,5,5,4,4,5,5,5
1,0,0,5,4,4,5,4,5,3,5,5,5,4,5,4,3,4,4,4,3,4,3,4,4,3,3,5,4,2,4,3, ,4,4,3,4,4,3,4,3,4,4,3,3,4,4,3,4,4,3,2,2,1,5,4,3,3,2,2,2,3,1,3,3,3,3,3,3,4,3,3,3,2,3,4,4,3,3,3,2,5,5,5,5,3,3,4,3,3,4,4,2,3,3,3,5,5,5,3,3,3,4,5,5,4,3,3,4,3,3,3,3,4,1,3,3,3,4,3,2,3,3
0,0,0, ,3,1, ,5,5, ,1,5, ,1,5, ,1,5, ,1,1, ,1,1, ,1,5, ,5,1, ,5,5, ,5,5, ,5,5, ,5,5, ,5,5, ,5,5, ,5,5, ,4,1, ,5,5, ,1,5, ,5,5, ,1,1, ,1,5, ,1,5, ,5,1, ,5,5, ,5,5, ,5,5, ,5,5, ,5,1, ,5,5, ,5,5, ,5,5, ,5,5, ,5,1, ,5,5, ,5,5, ,5,1, ,5,5, ,5,5, ,5,5
1,0,0,4,5,4,4,3,3,2,3,3,5,5,4,3,3,2,3,4,4,4,4,3,5,5,5,5,5,5,4,4,3,4,5,5,5,5,5,4,5,4,4,4,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5, ,5,5,4,4,4,3,4,4,5,3,5,4,5,4,5,4,5,3,4,4,4,3,2,3,4,2,4,4,4,4,4,4,4,5,4,5,5,4,4,3,2,4,3,4,3,1,1,4,3,4,4,4,2,2,3,5,3,4,3,4,3,3
0,0,0,5,5,2,5,5,5,4,1,1,1,5,5,5,4,3,5,5,5,4,5,4,4,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,1,3,3,5,4,4,4,4,4,3,4,4,4,3,4,3,4,5,4,2,3,2,2,1,4,4,5,5,5,5,4,2,1,5,4,5,5,5,5,5,5,5,5,5,5,5,2,2,5,4,4,5,4,5,1,3,4,2,1,2,4,2,2,3,3,4,4,2,4,4,2,4
1,0,0,4,5,4,4,5,4,4,4,3,5,4,5,5,2,4,5,4,5,4,3,3,5,5,3,5,5,5,5,5,4,4,5,5,5,5,5,3,4,5,4,4,4,5,5,5,4,4,4,4,2,1,5,4,3,4,4,2,5,3,3,5,5,5,5,5,5,4,3,2,3,4,4,5,4,4,4,3,5,4,2,2,3,3,3,5,4,5,4,4,4,4,5,4,3,2,2,5,3,4,5,4,4,4,2,2,4,4,3,4,4,4,4,1,1,4,2,2,5,3,4
1,0,0,5,3,4,3,2,2,2,4,4,4,1,3,1,4,4,3,4,5,5,2,2,1,3,3,5,4,5,3,4,2,4,4,4,5,5,4,5,4,4,4,4,3,5,5,4,5,4,4,4,5,4,5,5,4,1,3,3,1,5,4,3,1,4,1,3,2,5,2,3,3,4,1,4,4,5,2,4,5,2,5,5,3,2,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,3,5,4,5,3,5,5,5,4,3,5,3,3,5,4,5,4,5,4,5,5,4
1,0,0,4,4,4,3,4,5,3,4,4,1,3,2,2,4,5,5,5,4,5,5,5,5,4,4,4,5,5,3,4,4,4,5,4,5,4,2,5,4,4,5,5,5,5,4,3,5,5,4,3,3,3,5,4,3,4,3,1,5,4,2,2,2,3,2,2,1,5,3,2,2,3,2,4,4,4,5,5,4,5,5,5,5,5,5,4,5,5,4,4,4,5,4,4,5,4,5,4,4,4,4,4,4,5,5,3,4,4,4,4,4,5,5,3,3,5,5,5,5,5,5
1,0,0,5,4,4,5,5,5,5,4,5,3,4,4,4,3,3,5,4,4,4,4,4,5,3,4,5,5,5,4,4,4,4,4,4,5,5,5,5,4,4,5,4,5,4,4,4,5,4,4,2,3,3,3,3,4,2,4,4,3,3,3,2,3,3,3,3,3,4,4,4,1,1,1,5,4,5,5,5,4,3,3,3,4,2,4,5,4,4,4,4,4,5,4,4,4,4,5,2,5,4,5,1,4,5,4,5,3,4,4,4,4,4,2,3,3,3,3,4,3,4,3
